,Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert.Rate,Med.Age,UrbanPop,WorldShare,Latitude,Longitude
150,Latvia,1890218,-0.0108,-20545,30,62200,-14837.0,1.7,44,0.69,0.0002,56.85460987000005,24.926839006000023
151,Bahrain,1688629,0.0368,60403,2239,760,47800.0,2,32,0.89,0.0002,26.05185877400004,50.564426954000055
152,Equatorial Guinea,1392950,0.0347,46999,50,28050,16000.0,4.6,22,0.73,0.0002,1.7026148510000212,10.333091866000075
153,Trinidad and Tobago,1398579,0.0032,4515,273,5130,-800.0,1.7,36,0.52,0.0002,10.47267427600002,-61.26048813699998
154,Estonia,1326357,0.0007,887,31,42390,3911.0,1.6,42,0.68,0.0002,58.67204078700007,25.477224001000025
155,Timor-Leste,1313184,0.0196,25326,89,14870,-5385.0,4.1,21,0.33,0.0002,-8.826458773999946,125.85326774200007
156,Mauritius,1271347,0.0017,2100,626,2030,0.0,1.4,37,0.41,0.0002,-20.283556218999934,57.57181746400005
157,Cyprus,1205577,0.0073,8784,131,9240,5000.0,1.3,37,0.67,0.0002,35.05017425900007,33.226229774000046
158,Eswatini,1157707,0.0105,12034,67,17200,-8353.0,3,21,0.3,0.0001,-26.56500356099997,31.49799039000004
159,Djibouti,985027,0.0148,14440,43,23180,900.0,2.8,27,0.79,0.0001,11.733763645000067,42.58017759000006
160,Fiji,895128,0.0073,6492,49,18270,-6202.0,2.8,28,0.59,0.0001,-17.835402366999972,177.96333137200008
161,Reunion,894017,0.0072,6385,358,2500,-1256.0,2.3,36,1,0.0001,-21.133187345999943,55.53244445100006
162,Comoros,865696,0.022,18715,467,1861,-2000.0,4.2,20,0.29,0.0001,-11.662553529999968,43.35421636400008
163,Guyana,785788,0.0048,3786,4,196850,-6000.0,2.5,27,0.27,0.0001,4.796422680000035,-58.97538657499996
164,Bhutan,769867,0.0112,8516,20,38117,320.0,2,28,0.46,0.0001,27.41482682700007,90.42623098500007
165,Solomon Islands,683301,0.0255,17061,25,27990,-1600.0,4.4,20,0.23,0.0001,-9.622803767999926,160.1602896490001
166,Macao,647508,0.0139,8890,21645,30,5000.0,1.2,39,N.A.,0.0001,22.15781845400005,113.56035235900003
167,Montenegro,628050,0.0001,79,47,13450,-480.0,1.8,39,0.68,0.0001,42.796154744000034,19.25209946500007
168,Luxembourg,623861,0.0166,10249,242,2590,9741.0,1.5,40,0.88,0.0001,49.776828429000034,6.092325247000076
169,Western Sahara,594215,0.0255,14876,2,266000,5582.0,2.4,28,0.87,0.0001,24.658502978000058,-13.13948587699997
170,Suriname,585561,0.009,5260,4,156000,-1000.0,2.4,29,0.65,0.0001,3.9317774090000626,-56.01360780899995
171,Cabo Verde,554750,0.011,6052,138,4030,-1342.0,2.3,28,0.68,0.0001,15.08362928200006,-23.624671987999932
172,Maldives,538558,0.0181,9591,1802,300,11370.0,1.9,30,0.35,0.0001,4.175240000000031,73.50928000000005
173,Malta,441308,0.0027,1171,1380,320,900.0,1.5,43,0.93,0.0001,35.92254885600005,14.400072590000036
174,Brunei,436624,0.0097,4194,83,5270,0.0,1.8,32,0.8,0.0001,4.520762436000041,114.7507502090001
175,Guadeloupe,400110,0.0002,68,237,1690,-1440.0,2.2,44,N.A.,0.0001,16.14475253100005,-61.65011999999996
176,Belize,396120,0.0186,7275,17,22810,1200.0,2.3,25,0.46,0.0001,17.209050260000026,-88.69496155299998
177,Bahamas,392477,0.0097,3762,39,10010,1000.0,1.8,32,0.86,0.0001,25.040820000000053,-77.37121999999994
178,Martinique,375323,-0.0008,-289,354,1060,-960.0,1.9,47,0.92,0.0,14.653133328000024,-61.01838056199995
179,Iceland,340795,0.0065,2212,3,100250,380.0,1.8,37,0.94,0.0,64.98695685900003,-18.582382345999974
